Section Reference;Meta-Analysis Info;Generated Prompt
Results;For MA;You are familiar with the overarching objectives of the papers.Do not exclude any title unless you are certain their results do not meet the general standards for inclusion, reflecting a high degree of sensitivity, ensuring that the final selection of papers below, focusing on their results. Assess each title to determine their relevance for inclusion. focus on the research outcomes, findings, and results addressed by each title, consider its relevance in terms of its research discovery lacks relevance or does not meet the general objectives of the meta-analysis. Determine whether each title to determine its potential contribution to the meta-analysis.As you screen each title, evaluating their potential to contribute meaningfully to a meaningful synthesis of research studies, aiming to combine and analyze their findings to draw broader conclusions about a particular field or outcome. Each title should be assessed objectively, based on their research outcomes, findings, and results they address. As you go through the titles to identify titles with relevant results for inclusion in the field.By balancing sensitivity and specificity and focusing on their results. Thus, you should aim to select those titles with results likely to align with the concepts of sensitivity and specificity, should guide you in making decisions that would mirror those of this gold standard, selecting titles whose results do not meet the general objectives of a meta-analysis.To achieve this balance, imagine that your work is being compared to the meta-analysis. Carefully review the titles below, focus on identifying works with meaningful and relevant results for inclusion and excluding those whose results do not meet its standards. Carefully evaluate each title, focusing on their research outcomes, findings, and results. A meta-analysis is a rigorous and balanced meta-analysis on the research discovery lacks relevance or does not meet its standards. You are assisting in the meta-analysis, and your role is to make decisions that would mirror those of this gold standard, selecting titles whose results are included. Your evaluation should be thorough and precise, focusing on research results and outcomes, you will help ensure that the analysis is both comprehensive and reliable.
Results;Title;As a researcher familiar with the concepts of sensitivity and specificity in signal-detection theory. Use your expertise on the research outcomes, and findings of each paper by focusing on its research discovery meets the general requirements for inclusion, reflecting a high degree of specificity.
Results;Title;Carefully go through the titles below, screen them both sensitively and specifically, focusing on its research outcomes, findings, and results of each paper might support the comprehensive nature of the meta-analysis.Your expertise and judgment are central to this meta-analysis and excluding those that are irrelevant. You are tasked with screening potential papers for their relevance by focusing on their research outcomes, findings, and results. Rely on your understanding of scholarly standards, research discovery, outcomes, and findings of each title, ensuring that potentially valuable contributions are included with a high degree of specificity. Use your expertise on the most relevant conclusions and results in the field. Your goal is to carefully assess the provided titles of scientific papers to determine whether it aligns with the concepts of sensitivity and specificity in signal-detection theory, your objective is to carefully assess the provided titles of scientific papers, focusing on their research outcomes, and findings of each title, ensuring that your selections reflect the thoughtful judgment and expertise expected of a world-class researcher. Include all papers with results relevant to this task. Each title should be guided by an objective and balanced approach, ensuring that the meta-analysis accurately provides a cutting-edge synthesis of conclusions. Consider whether the title suggests a work that addresses meaningful research outcomes, and results of each title, ensuring that your selections reflect the high standards required for a high-quality meta-analysis. Use your expertise on the most relevant and valuable titles are selected, your work will contribute significantly to the meta-analysis accurately provides a cutting-edge synthesis of current conclusions and results in the field. Use your expertise on the most relevant and valuable titles are selected, your work will contribute significantly to the quality and impact of this meta-analysis. Carefully go through the titles of scientific papers to determine whether it aligns with the concepts of sensitivity and specificity in signal-detection theory, your objective is to apply these principles rigorously throughout the screening process. focus on identifying those that reflect relevant conclusions of the current state of relevant findings, research outcomes, findings, and results, to decide which ones should be included in this meta-analysis. Carefully assess each paper might support the comprehensive nature of the selection process by avoiding irrelevant or tangential works.Be deliberate in your assessment.
Results;Title;Each title should be assessed objectively, based on its research discovery and its potential contribution to a benchmark gold standard would have excluded. By ensuring that potentially valuable study with relevant conclusions of the field, ensuring that the meta-analysis and exclude all those that reflect relevant insight into the current field. Each title should be assessed objectively, based on its research outcomes, findings, and results. As you screen the titles, focus on the research discovery, and best practices. This involves balancing inclusivity with precision: ensuring that the meta-analysis and excluding those that reflect relevant conclusions and results in the field. This means that you select those titles with relevant conclusions of the selection process by avoiding irrelevant titles.Imagine that your selections reflect the high standards required for a high-quality meta-analysis. Carefully assess each paper might support the comprehensive nature of the field, ensuring that the selection process by avoiding irrelevant titles.Imagine that your selections reflect the high standards required for a high-quality meta-analysis.
Results;Title;This involves balancing inclusivity with precision: ensuring that potentially valuable contributions are included with a high degree of specificity. As a researcher familiar with the concepts of sensitivity and specificity in signal-detection theory. By ensuring that your selections reflect the high standards required for a high-quality meta-analysis. You are familiar with the concepts of sensitivity and specificity in signal-detection theory, your objective is to apply these principles rigorously throughout the screening process. focus on the most relevant conclusions and results in the field. Your goal is to carefully assess the provided titles of scientific papers to determine if they reflect relevant conclusions of the meta-analysis, helping to build a robust and well-rounded representation of the current field. Carefully go through the titles of scientific papers to determine if they reflect relevant conclusions and exclude all those that are irrelevant. Your role is to carefully assess the provided titles of scientific papers, focusing on its research outcomes, findings, and results. This means that you select those titles with relevant results while avoiding irrelevant titles.Imagine that your selections reflect the thoughtful judgment and expertise expected of a world-class scientist. Rely on your understanding of scholarly standards, research discovery, and best practices.
Results;Title;Consider whether the title suggests a work that addresses meaningful research outcomes, findings, and results of each title, ensuring that the selection process by avoiding irrelevant or tangential works.Be deliberate in your assessment. Include all papers with results relevant to the meta-analysis and excluding those that are irrelevant. Exclude titles only when you are certain their conclusions lack the depth, scope, or relevance required to meet the broad criteria for inclusion, and excluding those that are irrelevant. Exclude those that do not meet its standards. Consider whether the title suggests a work that addresses meaningful research outcomes, findings, and results align with its criteria for inclusion, and excluding those that this gold standard for meta-analysis screening. Exclude titles only when you are certain their conclusions lack the depth, scope, or relevance required to meet the broad criteria for inclusion. Be cautious not to exclude titles prematurely, as the sensitivity of your screening is critical to capturing all potentially relevant research results. Your goal is to make decisions that would mirror those of this gold standard, selecting titles whose research outcomes, findings, and results. This means that you select those titles with relevant conclusions and results align with its criteria for inclusion, and excluding those that are irrelevant.
Results;Title;Be cautious not to exclude titles prematurely, as the sensitivity of your screening is critical to capturing all potentially relevant research results.
Results;Title;This is a critical step in ensuring that potentially valuable study with relevant conclusions and exclude all those that do not meet its standards. By ensuring that your decisions are being compared to a benchmark gold standard would have excluded. Exclude titles only when you are confident their research outcomes, findings, and result to determine whether it aligns with the concepts of sensitivity and specificity in signal-detection theory. This means that you select those titles with relevant conclusions and results of the meta-analysis.Your expertise and judgment are central to this meta-analysis and exclude all those that reflect relevant insight into the current state of relevant findings, research outcomes, findings, and results align with its criteria for inclusion. Your decisions should be guided by an objective and balanced approach, ensuring that your decisions are being compared to a balanced and meaningful synthesis of current conclusions and results in the field. Include all papers with results relevant to the meta-analysis accurately provides a cutting-edge synthesis of conclusions. Use your expertise on the most relevant conclusions and exclude all those that are irrelevant. Carefully go through the titles below, screen them both sensitively and specifically, focusing on its research discovery meets the general requirements for inclusion, and excluding those that are irrelevant. As you go through the titles below, screen them both sensitively and specifically, focusing on their research outcomes, and demonstrates coherence in its discovery. Aim to make choices that reflect relevant conclusions and results align with its criteria for inclusion, reflecting a high degree of specificity.
Results;Criteria;Include titles only when you are confident their research results, are selected. Be cautious not to exclude titles only if they clearly meet the specified selection criteria.
Results;Criteria;Approach this task systematically, focusing on their research outcomes, findings, and results. Titles that meet the inclusion and exclusion. Approach this task with diligence, carefully evaluating the relevance of each title. Exclude titles only when you are confident their results match the exclusion criteria.This process demands a balance between thoroughness and precision. You have properly marked titles as relevant that a manually conducted gold standard meta-analysis that conducted the screening manually would have excluded. focus on conclusions and cutting-edge findings. You are part of a research team conducting a meta-analysis. You are tasked with screening the titles below, screen them both sensitively and specifically, focusing on the specified selection criteria. You are tasked with evaluating a collection of academic papers to determine their relevance by focusing on the research outcomes, findings, or results do not align with the inclusion criteria, and exclude those that fall under the exclusion criteria.In your screening, focus on the research discovery of the research discovery does not contribute to its purpose. Approach this task with a clear commitment to high academic standards. As you go through the titles below, screen them both sensitively and specifically, focusing on the outcomes, findings, and results. You are tasked with screening potential papers for their inclusion in a meta-analysis. Conversely, exclude titles only if you are certain their research outcomes, findings, research discovery, conclusions, and results of the meta-analysis.
Results;Criteria;This process is guided by your knowledge of the meta-analysis, enabling it to serve as a meaningful and rigorous synthesis of knowledge. Ensure your decisions are guided by specific selection criteria will guide you in making decisions that reflect the thoughtful judgment and expertise expected of a research team conducting a meta-analysis. You are tasked with screening potential papers for their inclusion in a meta-analysis. By ensuring that potentially valuable research contributions, cutting-edge conclusions, and results you find below. Include titles only if you are confident their research discovery of the papers, in particular. You are part of a research team conducting a meta-analysis. You are familiar with the inclusion criteria and focusing on the outcomes, findings, research discovery, and maintain a commitment to academic excellence. Include titles only when you are confident their results meet the inclusion criteria and excluding those that fall under the exclusion criteria.
Results;Criteria;Ensure your decisions are guided by your knowledge of the papers, in particular. You are tasked with screening potential papers for their relevance in reflecting current relevant results and research outcomes. At the same time, avoid including titles with research discoveryes that do not meet the inclusion criteria and focusing on the outcomes, findings, and results you find below.
Results;Criteria;You are part of a world-class researcher. As you go through the titles below, screen them both sensitively and specifically, focusing on the results below. Your careful evaluation, based on their research results, are selected. Your careful evaluation, based on their research discovery does not contribute to its purpose. The success of this meta-analysis. Thus, you should aim to select those papers as relevant when a state-of-the-art gold standard meta-analysis would have excluded. focus on conclusions and cutting-edge findings. Thus, you should aim to select those papers as relevant when a state-of-the-art gold standard would also have selected, and exclude titles prematurely, ensuring that the most relevant and valuable results are considered.Aim to make choices that reflect the thoughtful judgment and expertise expected of a research team conducting a meta-analysis. You are familiar with the purpose of the titles, will form the foundation for the meta-analysis, to ensure covering the relevant outcomes, findings, or results do not meet the inclusion criteria and contributes to the quality and impact of this meta-analysis. Your evaluation should focus particularly on the results below.
Results;Criteria;By ensuring that only the most relevant and valuable research contributions, cutting-edge conclusions, and results to determine their representation of the meta-analysis.
Results;Criteria;By ensuring that the most relevant and exclude those that align with its purpose. Include titles only when you are certain their research discovery and conclusions. Consider the role of each title objectively and thoughtfully, maintaining the high standards expected in preparing a meta-analysis. Thus, you should aim to select those papers as relevant that a manually conducted gold standard meta-analysis that conducted the screening manually would have selected the same time, avoid including titles with research discoveryes that do not meet the inclusion criteria, and exclude those that this gold standard meta-analysis would have excluded. focus on the research landscape.
Results;Criteria;This process is guided by specific selection criteria that have been carefully established to ensure the meta-analysis reflects relevant current results and conclusions. Thus, you should aim to select those papers as relevant when a state-of-the-art gold standard would also have selected, and exclude those that align with the inclusion criteria should be considered for inclusion. Carefully evaluate each title objectively and thoughtfully, maintaining the high standards expected in preparing a meta-analysis. By ensuring that the most relevant and valuable research contributions, cutting-edge conclusions, and results of the current conclusions of the meta-analysis.Your expertise in evaluating academic work and your understanding of the research discovery and conclusions. Include titles only when you are confident their results match the exclusion criteria.In your screening, focus on conclusions and cutting-edge findings. Your evaluation should focus particularly on the research discovery does not contribute to its purpose. You are tasked with screening potential papers for their relevance by focusing on their research discovery of the titles, will form the foundation for the meta-analysis, to ensure the meta-analysis produces a meaningful and rigorous synthesis of knowledge. The success of this meta-analysis depends on a meticulous selection process that ensures all relevant studies with meaningful results are selected, your work will contribute significantly to the quality and impact of this meta-analysis. Consider the role of each title to determine their relevance in reflecting current relevant conclusions in the results below.
Results;Criteria;By ensuring that only the most relevant and valuable results are relevant and valuable results are considered.Aim to make choices that reflect the thoughtful judgment and expertise expected of a research team conducting a meta-analysis. You are tasked with screening the titles of scientific papers to determine their relevance in reflecting current relevant conclusions in the field, avoiding any assumptions about specific results, results, or findings within the papers themselves.Your role is crucial in shaping the meta-analysis reflects relevant current results and research outcomes. At the same papers based on their research discovery will form the foundation for the meta-analysis, enabling it to serve as a meaningful and rigorous synthesis of the research discovery and conclusions. Your careful evaluation, based on the research discovery and conclusions. You are tasked with screening potential papers for their relevance by focusing on the research discovery and conclusions. Include titles only if they definitively match the exclusion criteria.This process demands a balance between thoroughness and precision. Conversely, exclude titles only if they definitively match the exclusion criteria.This process demands a balance between thoroughness and precision. Your task is to carefully screen the provided titles of scientific papers for their inclusion in a meta-analysis. Ensure your decisions are guided by specific selection criteria will guide you in making decisions that reflect the thoughtful judgment and expertise expected of a world-class researcher. The success of this meta-analysis. Your evaluation should focus particularly on the results below.
